id,title,url,completion_ratio
1720774,Practical Test Driven Development for Java Programmers,/course/practical-test-driven-development-for-java-programmers/learn/,100
3716888,Spring Boot E-Commerce Ultimate Course,/course/spring-boot-e-commerce-ultimate/learn/,5
2722880,Fundamentals of Database Engineering,/course/database-engines-crash-course/learn/,0
4457400,Testing Spring Boot Application with JUnit and Mockito,/course/testing-spring-boot-application-with-junit-and-mockito/learn/,15
3725240,Low level system design - Interview preparation guide.,/course/low-level-system-design-interview-preparation-guide/learn/,50
1635492,Master Java Unit Testing with Spring Boot & Mockito,/course/learn-unit-testing-with-spring-boot/learn/,35
3234659,Create a Twitter Clone with Node.js Socket.IO and MongoDB,/course/create-a-twitter-clone-with-nodejs-socketio-and-mongodb/learn/,0
2746796,Fullstack Project With Spring Boot Java And React Hooks- TDD,/course/full-stack-project-using-spring-boot-and-react-with-tdd/learn/,0
4038928,GET AHEAD- Full stack MERN Web App From Code to Cloud,/course/architecting-for-the-modern-web-from-code-to-cloud/learn/,0
4496984,MERN Stack Real Time Chat App With Express React MongoDB,/course/mern-stack-real-time-chat-app-with-express-react-mongodb/learn/,0
1882842,Practical Java : Spring Boot REST API with Elasticsearch,/course/practical-java-spring-boot-rest-api-with-elasticsearch/learn/,0
3167666,TDD in 3 Hours : Test Driven Development Complete Guide,/course/tdd-practices/learn/,100
1954018,Advanced REST APIs with Flask and Python,/course/advanced-rest-apis-flask-python/learn/,0
4342904,Java Programming - a solid foundation for new developers,/course/java-fundamentals-a-solid-foundation-for-new-programmers/learn/,0
1352468,Master Microservices with Spring Boot and Spring Cloud,/course/microservices-with-spring-boot-and-spring-cloud/learn/,4
1656228,Java Multithreading Concurrency & Performance Optimization,/course/java-multithreading-concurrency-performance-optimization/learn/,0
950152,Learn Java Unit Testing with Junit & Mockito in 30 Steps,/course/mockito-tutorial-with-junit-examples/learn/,0
2840950,Software Architecture Case Studies,/course/software-architecture-case-studies/learn/,0
3740004,Lambdas in Java - From Zero to Hero,/course/lambdas-streams-in-java-zero-to-hero/learn/,15
622414,Taming Big Data with Apache Spark and Python - Hands On!,/course/taming-big-data-with-apache-spark-hands-on/learn/,0
2017320,Redis Bootcamp for Beginners: Get Hands On with Redis.,/course/redis-bootcamp-for-beginners/learn/,2
3385384,Low Level System Design [An interview perspective],/course/low-level-system-design-an-interview-perspective/learn/,6
3597496,More than Certified in Terraform,/course/terraform-certified/learn/,5
4102762,Design Microservices Architecture with Patterns & Principles,/course/design-microservices-architecture-with-patterns-principles/learn/,0
3485044,Spring Security Zero to Master along with JWTOAUTH2,/course/spring-security-zero-to-master/learn/,0
732464,Spring MVC For Beginners - Build Java Web App in 25 Steps,/course/spring-mvc-tutorial-for-beginners-step-by-step/learn/,0
477958,User Stories for Agile Scrum+Product Owner+Business Analysis,/course/userstory/learn/,12
2591190,User Story Masterclass: Your Agile Guide to User Stories,/course/user-stories/learn/,45
2013892,Agile Fundamentals: Including Scrum and Kanban - 2022,/course/agile-fundamentals-scrum-kanban-scrumban/learn/,2
364426,JavaScript: Understanding the Weird Parts,/course/understand-javascript/learn/,0
379702,Become QlikView Developer from Scratch,/course/qlikview-developer-course/learn/,7
462620,Become QlikView Designer from Scratch,/course/become-qlikview-designer-from-scratch/learn/,0
1396598,Python eCommerce | Build a Django eCommerce Web Application,/course/python-ecommerce-build-a-django-ecommerce-web-application/learn/,5
850690,Learn Python for Beginners!,/course/draft/850690/learn/,2
937678,Tableau 2022 A-Z: Hands-On Tableau Training for Data Science,/course/tableau10/learn/,30
1938194,Angular and Spring MVC (Updated: Angular 9 and Spring boot),/course/build-an-angular-and-spring-mvc-web-application/learn/,19
1560080,JavaScript for beginners - Quick JavaScript Fundamentals,/course/learn-javascript-fundamentals/learn/,0
584648,Advanced Databases and SQL Querying,/course/advanced-tsql-querying-using-sql-2014/learn/,12
419318,AngularJS 1.0 Masterclass - Deep Dive & Understand AngularJS,/course/angularjs-masterclass/learn/,7
1329100,Progressive Web Apps (PWA) - The Complete Guide,/course/progressive-web-app-pwa-the-complete-guide/learn/,0
577248,Python for Beginners with Examples,/course/ardit-sulce-python-for-beginners/learn/,0
949766,The Complete Python 3 Course: Go from Beginner to Advanced!,/course/learn-python-3-from-beginner-to-advanced/learn/,0
13034,Operations Management,/course/operations-management/learn/,24
17534,Entrepreneurship -- From Idea to Launch,/course/draft/17534/learn/,7
1589888,Deep Learning: An Introduction,/course/draft/1589888/learn/,0
775330,30 Days of Python | Unlock your Python Potential,/course/30-days-of-python/learn/,0
917724,Learn JavaScript for Web Development,/course/javascript-learn-javascript-essentials-and-build-project/learn/,0
552672,Introduction to Databases and SQL Querying,/course/introduction-to-databases-and-sql-querying/learn/,0
820354,SQL : The Hitch Hikers Guide To Writing SQL Queries,/course/draft/820354/learn/,0
543600,Automate the Boring Stuff with Python Programming,/course/automate/learn/,0
2094300,Complete Web Design: from Figma to Webflow to Freelancing,/course/freelance-web-design-from-design-to-development-to-making-money/learn/,0
3397326,Make 20 Advanced Level Applications in Python,/course/make-20-advanced-level-applications-in-python/learn/,0
1568344,Java Design Patterns & SOLID Design Principles,/course/design-patterns-in-java-concepts-hands-on-projects/learn/,0
1862914,Apache Kafka for Developers using Spring Boot[LatestEdition],/course/apache-kafka-for-developers-using-springboot/learn/,0
1565240,Build Reactive MicroServices using Spring WebFlux/SpringBoot,/course/build-reactive-restful-apis-using-spring-boot-webflux/learn/,0
3046762,MultithreadingParallel & Asynchronous Coding in Modern Java,/course/parallel-and-asynchronous-programming-in-modern-java/learn/,0
2446844,Functional & Reactive programming in Java : Modern Style,/course/functional-programming-and-reactive-programming-in-java/learn/,0
3525154,Clean Code with Java: Learn Simple Design Refactoring & TDD,/course/java-clean-code-with-refactoring-and-tdd/learn/,0
2733264,Refactoring Pyramid explained in simple steps (Java),/course/pyramid-of-refactoring-java-interpreter-factories/learn/,0
2733620,Refactoring into Chain of Responsibility & Clean Code,/course/pyramid-of-refactoring-java-chain-of-poker-hands/learn/,0
2394610,Java Spring & Apache Kafka Bootcamp - Basic to Complete,/course/apache-kafka-with-java-spring-boot-theory-hands-on-coding/learn/,0
3430412,GraphQL API with Java Spring Boot & Spring Framework,/course/graphql-with-java-spring-boot-query-mutation-schema-resolver-edge-jpa/learn/,0
4676144,Spring Boot + Apache Kafka Course - The Practical Guide,/course/spring-boot-and-apache-kafka/learn/,0
3533422,MERN eCommerce From Scratch,/course/mern-ecommerce/learn/,0
2153774,Modern HTML & CSS From The Beginning (Including Sass),/course/modern-html-css-from-the-beginning/learn/,0
1347504,Reactive Programming with Spring Framework 5,/course/reactive-programming-with-spring-framework-5/learn/,0
3792262,The Git & Github Bootcamp,/course/git-and-github-bootcamp/learn/,0
625204,The Web Developer Bootcamp 2022,/course/the-web-developer-bootcamp/learn/,0
2604248,Learn Java Functional Programming with Lambdas & Streams,/course/functional-programming-with-java/learn/,0
1035518,Concurrency Multithreading and Parallel Computing in Java,/course/multithreading-and-parallel-computing-in-java/learn/,0
957902,Java Interview Guide : 200+ Interview Questions and Answers,/course/java-interview-questions-and-answers/learn/,0
2043700,Apache Maven: Beginner to Guru,/course/apache-maven-beginner-to-guru/learn/,0
2313280,Spring Boot Microservices with Spring Cloud Beginner to Guru,/course/spring-boot-microservices-with-spring-cloud-beginner-to-guru/learn/,0
2807603,Spring Security Core: Beginner to Guru,/course/spring-security-core-beginner-to-guru/learn/,0
2640970,OpenAPI: Beginner to Guru,/course/openapi-beginner-to-guru/learn/,0
1121254,Docker for Java Developers,/course/docker-for-java-developers/learn/,0
4022034,Hibernate and Spring Data JPA: Beginner to Guru,/course/hibernate-and-spring-data-jpa-beginner-to-guru/learn/,0
1217894,Spring Framework 5: Beginner to Guru,/course/spring-framework-5-beginner-to-guru/learn/,0
2609434,Node.js API Masterclass With Express & MongoDB,/course/nodejs-api-masterclass/learn/,0
1313502,Bootstrap 4 From Scratch With 5 Projects,/course/bootstrap-4-from-scratch-with-5-projects/learn/,0
1672410,Node.js Express MongoDB & More: The Complete Bootcamp 2023,/course/nodejs-express-mongodb-bootcamp/learn/,0
1026604,Advanced CSS and Sass: Flexbox Grid Animations and More!,/course/advanced-css-and-sass/learn/,0
2640372,React NodeJS Express & MongoDB - The MERN Fullstack Guide,/course/react-nodejs-express-mongodb-the-mern-fullstack-guide/learn/,0
3581421,React [2021] - The Full Stack Serverless eCommerce Course,/course/react-full-stack-serverless-ecommerce/learn/,0
4671500,React and React Native Apps with NodeJs API for Web & Mobile,/course/react-react-native-nodejs-web-and-mobile-apps/learn/,0
4341438,Build Web Apps with React & Firebase,/course/build-web-apps-with-react-firebase/learn/,0
